Year,Month,Rainfall_mm,Temperature_C,Fertilizer,N,P,K,is_low_rainfall,is_high_rainfall,is_low_temp,is_high_temp,rain_temp_interaction,total_npk,npk_balance,good_tea_zone,good_rubber_zone,good_sugarcane_zone,good_cinnamon_zone,good_rice_zone,rainfall_to_temperature_ratio,total_nutrients,avg_nutrient,nutrient_balance,Crop_Rice,Crop_Rubber,Crop_Sugarcane,Crop_Tea,District_Badulla,District_Batticaloa,District_Galle,District_Jaffna,District_Kalutara,District_Kandy,District_Kegalle,District_Kurunegala,District_Matara,District_Nuwara Eliya,District_Polonnaruwa,District_Ratnapura,District_Trincomalee,Yield_t_per_ha
0.9,0.45454545454545453,0.43455233895705525,0.3978401727861771,0.46295770650014184,0.5543429844097995,0.4378571428571428,0.16230769230769226,1.0,0.0,0.0,0.0,0.3967839916830014,0.5239601455005534,0.6262702295822357,0.0,0.0,0.0,0.0,0.0,0.408574741749993,0.5239601455005534,0.5239601455005531,0.6247874551294162,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.34
0.2,0.09090909090909091,0.06853911042944787,0.465658747300216,0.2526256031791087,0.25144766146993314,0.046428571428571326,0.5823076923076923,1.0,0.0,0.0,0.0,0.05726811454193061,0.3085560651589433,0.341362438840798,0.0,0.0,0.0,0.0,0.0,0.0675643624137634,0.3085560651589433,0.3085560651589433,0.4128093708671831,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.63
0.3,0.2727272727272727,0.2600651840490798,0.41987041036717054,0.5307976156684643,0.5329621380846326,0.33285714285714285,0.6230769230769232,1.0,0.0,0.0,0.0,0.23730550967780223,0.5802625336074646,0.5037636432066243,0.0,0.0,0.0,0.0,0.0,0.24361632750028153,0.5802625336074646,0.5802625336074644,0.510107689401096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
0.2,0.6363636363636364,0.4214675996932516,0.5529157667386609,0.38347998864604027,0.2942093541202672,0.23785714285714274,0.6669230769230771,1.0,0.0,0.0,0.0,0.45564611824693513,0.39870314724023387,0.32706059465562676,0.0,0.0,0.0,0.0,0.0,0.33745485021275057,0.39870314724023387,0.3987031472402337,0.36860003778575484,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54
0.7,0.09090909090909091,0.2851802147239264,0.5563714902807775,0.6202100482543288,0.4142538975501113,0.42714285714285716,0.40384615384615385,1.0,0.0,0.0,0.0,0.30769931916126175,0.47176972955875357,0.4488144523899135,0.0,0.0,0.0,0.0,0.0,0.2287058934557936,0.47176972955875357,0.4717697295587536,0.44662762138673734,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.68
0.2,0.0,0.45935582822085896,0.09978401727861765,0.6818052795912576,0.46124721603563457,0.652142857142857,0.0,1.0,0.0,1.0,0.0,0.2730914326338597,0.47192788233433464,0.587316522393677,0.0,0.0,0.0,0.0,0.0,0.6269080536469638,0.47192788233433464,0.47192788233433475,0.5856791989419987,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89
1.0,1.0,0.37394555214723935,0.5805615550755939,0.8518308260005677,0.7679287305122494,0.6992857142857142,0.5907692307692307,1.0,0.0,0.0,0.0,0.4151808332430283,0.8216036691443935,0.7019194580353784,0.0,0.0,0.0,0.0,0.0,0.2916719239725335,0.8216036691443935,0.8216036691443933,0.7007368222180239,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52
0.3,0.6363636363636364,0.4899587806748467,0.7490280777537797,0.4757309111552654,0.5160356347438753,0.17642857142857135,0.32538461538461544,1.0,0.0,0.0,1.0,0.6329668764558771,0.47240234066107856,0.5540082800150545,0.0,0.0,0.0,0.0,0.0,0.3279397661110425,0.47240234066107856,0.4724023406610786,0.5522388059701492,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.52
0.3,0.0,0.13846817484662577,0.5520518358531318,0.4209480556344027,0.6302895322939865,0.5028571428571428,0.40230769230769237,1.0,0.0,0.0,0.0,0.14584489342063692,0.6416258105329747,0.6317275122318403,0.0,0.0,0.0,0.0,0.0,0.1135089937667854,0.6416258105329747,0.6416258105329746,0.6302663895711316,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77.9
0.3,0.8181818181818182,0.4370686349693252,0.2289416846652268,0.4586999716151009,0.2178173719376392,0.37928571428571417,0.0,1.0,0.0,0.0,0.0,0.3190977949908283,0.23865253835204805,0.3816334211516749,0.0,0.0,0.0,0.0,0.0,0.5017308790164553,0.23865253835204805,0.23865253835204803,0.37918004912148123,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1
